Date,Transect,Segment,Surveyed?,Wind speed,Wind direction,Weather,Visibility,Waveheight,Whitecaps,Observer_Left,Observer_Right,Onsurvey_Left,Onsurvey_Right,Glare_Left,Glare_Right,Observerconditions_Left,Observerconditions_Right,Comments
30/07/2011,16,1625,Yes,10-15,WNW,Mostly Sunny,>5,2-3,None,KW,JV,Yes,Yes,Heavy,Minimal,Poor,Good,Ended short due to warning area
07/02/2011,22,2201,Yes,5-10,SW,Hazey,>5,1-2,None,KW,JV,Yes,No,Minimal,Moderate,Excellent,,Observer Right recorder malfunction
15/03/2011,8,806,Yes,5-10,SE,Mostly Sunny,>5,2-3,None,KW,JV,Yes,Yes,Minimal,None,Good,Excellent,Off Line to the West
15/03/2011,8,807,Yes,5-10,SE,Mostly Sunny,>5,2-3,None,KW,JV,Yes,Yes,Minimal,None,Good,Excellent,Off Line to the West
15/03/2011,8,808,Yes,5-10,SE,Mostly Sunny,>5,2-3,None,KW,JV,Yes,Yes,Minimal,None,Good,Excellent,Off Line to the West
15/03/2011,8,809,Yes,5-10,SE,Mostly Sunny,>5,2-3,None,KW,JV,Yes,Yes,Minimal,None,Good,Excellent,Off Line to the West
26/09/2011,1,101,Yes,5-10,SW,Mostly Cloudy,>5,1-2,None,KW,JV,Yes,Yes,Minimal,Minimal,Good,Good,"Patchy dense fog encountered early in survey, cleared as progressed"
07/04/2011,21,2101,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2102,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2103,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2104,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2105,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2106,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2107,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2108,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2109,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2110,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2111,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2112,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2113,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2114,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2115,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2116,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2117,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2118,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2119,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2120,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2121,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2122,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2123,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2124,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2125,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2126,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,21,2127,Yes,5-10,SE,Partly Sunny,>5,1-2,None,KW,JV,No,Yes,,Minimal,,Excellent,"Recorder malfunction, traded off lines"
07/04/2011,18,1801,Yes,5-10,SE,Partly Sunny,>5,2-3,Minimal,KW,JV,Yes,No,Minimal,,Good,,"Recorder malfunction, traded off lines"
07/04/2011,18,1802,Yes,5-10,SE,Partly Sunny,>5,2-3,Minimal,KW,JV,Yes,No,Minimal,,Good,,"Recorder malfunction, traded off lines"
07/04/2011,18,1803,Yes,5-10,SE,Partly Sunny,>5,2-3,Minimal,KW,JV,Yes,No,Minimal,,Good,,"Recorder malfunction, traded off lines"
07/04/2011,18,1804,Yes,5-10,SE,Partly Sunny,>5,2-3,Minimal,KW,JV,Yes,No,Minimal,,Good,,"Recorder malfunction, traded off lines"
07/04/2011,18,1805,Yes,5-10,SE,Partly Sunny,>5,2-3,Minimal,KW,JV,Yes,No,Minimal,,Good,,"Recorder malfunction, traded off lines"
